business_product_instance_id,customer_id,product_id,activation_date,termination_date,Status,distribution_channel
0,0,4,2020-03-07,,Active,online
1,1,5,2018-02-16,2021-05-25,Inactive,online
2,1,6,2021-05-25,,Active,physical_shop
3,2,5,2011-12-13,2020-02-24,Inactive,physical_shop
4,2,6,2020-02-24,,Active,online
5,3,4,2016-11-19,2020-12-15,Inactive,physical_shop
6,3,7,2019-10-20,2020-12-15,Inactive,physical_shop
7,3,5,2020-12-15,,Active,physical_shop
8,4,6,2021-10-04,,Active,online
9,5,5,2018-01-09,2022-01-21,Inactive,online
10,5,7,2019-06-26,2022-01-21,Inactive,physical_shop
11,5,8,2022-01-21,,Active,physical_shop
12,6,12,2020-11-12,,Active,physical_shop
13,6,7,2021-10-11,,Active,physical_shop
14,7,6,2021-11-12,,Active,online
15,8,5,2015-12-12,2021-01-02,Inactive,physical_shop
16,8,10,2019-08-19,2021-01-02,Inactive,physical_shop
17,8,4,2021-01-02,,Active,online
18,9,4,2019-03-24,2021-01-21,Inactive,physical_shop
19,9,6,2021-01-21,,Active,other
20,10,3,2020-12-05,,Active,online
21,11,4,2020-05-19,,Active,online
22,11,10,2020-05-26,,Active,physical_shop
23,12,5,2011-06-27,2022-01-09,Inactive,other
24,12,10,2016-02-19,2022-01-09,Inactive,online
25,12,6,2022-01-09,,Active,online
26,13,5,2017-04-13,,Active,physical_shop
27,14,12,2014-12-25,,Active,online
28,15,5,2013-03-20,2021-03-31,Inactive,physical_shop
29,15,7,2014-04-26,2021-03-31,Inactive,physical_shop
30,15,3,2021-03-31,,Active,online
31,16,12,2017-08-30,2021-05-16,Inactive,physical_shop
32,16,1,2021-05-16,,Active,online
33,17,12,2013-11-23,2020-07-29,Inactive,physical_shop
34,17,7,2019-11-24,2020-07-29,Inactive,other
35,17,8,2020-07-29,,Active,online
36,18,5,2014-09-12,2020-04-08,Inactive,physical_shop
37,18,10,2017-08-28,2020-04-08,Inactive,physical_shop
38,18,8,2020-04-08,,Active,online
39,18,10,2021-11-06,,Active,physical_shop
40,19,4,2017-12-21,2021-12-06,Inactive,physical_shop
41,19,3,2021-12-06,,Active,online
42,20,5,2019-09-01,,Active,physical_shop
43,20,10,2019-10-13,,Active,physical_shop
44,21,5,2011-01-14,2020-05-25,Inactive,online
45,21,7,2014-02-02,2020-05-25,Inactive,physical_shop
46,21,3,2020-05-25,,Active,online
47,22,4,2014-10-12,2020-12-13,Inactive,online
48,22,7,2016-06-24,2020-12-13,Inactive,online
49,22,12,2020-12-13,,Active,other
50,23,4,2021-05-15,,Active,online
51,24,4,2017-04-24,,Active,physical_shop
52,25,5,2017-01-15,2021-05-30,Inactive,physical_shop
53,25,12,2021-05-30,,Active,physical_shop
54,26,5,2020-11-10,,Active,online
55,27,5,2015-06-01,,Active,physical_shop
56,27,10,2018-05-05,,Active,online
57,28,3,2020-01-11,,Active,online
58,28,2,2020-09-16,,Active,online
59,29,5,2012-09-04,,Active,other
60,29,7,2015-09-26,,Active,physical_shop
61,30,12,2015-05-07,2021-10-12,Inactive,physical_shop
62,30,6,2021-10-12,,Active,physical_shop
63,30,9,2021-11-08,,Active,physical_shop
64,31,5,2013-07-07,,Active,physical_shop
65,31,7,2019-09-27,,Active,physical_shop
66,32,4,2017-06-29,2021-03-05,Inactive,physical_shop
67,32,8,2021-03-05,,Active,online
68,33,5,2015-01-17,2021-01-08,Inactive,physical_shop
69,33,6,2021-01-08,,Active,physical_shop
70,33,9,2021-08-09,,Active,physical_shop
71,34,5,2011-01-02,,Active,online
72,35,5,2010-06-16,2021-06-22,Inactive,other
73,35,10,2014-10-07,2021-06-22,Inactive,online
74,35,1,2021-06-22,,Active,online
75,35,2,2021-08-14,,Active,online
76,36,12,2010-06-15,2021-12-21,Inactive,physical_shop
77,36,6,2021-12-21,,Active,online
78,37,4,2017-10-14,2020-05-08,Inactive,online
79,37,10,2019-12-01,2020-05-08,Inactive,physical_shop
80,37,6,2020-05-08,,Active,online
81,37,10,2021-06-30,,Active,physical_shop
82,38,5,2019-05-05,2020-05-04,Inactive,online
83,38,10,2019-07-21,2020-05-04,Inactive,online
84,38,1,2020-05-04,,Active,physical_shop
85,38,2,2020-09-27,,Active,physical_shop
86,39,3,2020-04-12,,Active,online
87,40,4,2018-05-23,2021-05-13,Inactive,physical_shop
88,40,6,2021-05-13,,Active,online
89,41,4,2013-03-05,,Active,physical_shop
90,42,5,2020-08-19,,Active,physical_shop
91,42,10,2022-02-23,,Active,physical_shop
92,43,12,2014-11-17,2020-12-26,Inactive,physical_shop
93,43,8,2020-12-26,,Active,physical_shop
94,44,8,2021-12-04,,Active,online
95,45,4,2013-06-01,2020-08-29,Inactive,physical_shop
96,45,5,2020-08-29,,Active,online
97,45,7,2020-09-29,,Active,physical_shop
98,46,5,2013-09-21,2020-04-02,Inactive,physical_shop
99,46,10,2015-09-10,2020-04-02,Inactive,physical_shop
100,46,8,2020-04-02,,Active,online
101,47,5,2019-09-09,2020-04-24,Inactive,physical_shop
102,47,7,2019-12-27,2020-04-24,Inactive,physical_shop
103,47,1,2020-04-24,,Active,other
104,47,7,2021-02-24,,Active,physical_shop
105,48,12,2015-10-01,2021-07-23,Inactive,physical_shop
106,48,10,2018-06-29,2021-07-23,Inactive,physical_shop
107,48,8,2021-07-23,,Active,online
108,48,9,2022-02-09,,Active,physical_shop
109,49,12,2017-06-10,,Active,physical_shop
110,50,1,2021-08-16,,Active,online
111,51,5,2016-09-18,2021-06-28,Inactive,physical_shop
112,51,4,2021-06-28,,Active,online
113,51,7,2021-12-17,,Active,physical_shop
114,52,12,2021-06-18,,Active,online
115,52,10,2021-09-07,,Active,physical_shop
116,53,5,2019-04-06,2020-06-27,Inactive,physical_shop
117,53,10,2019-04-19,2020-06-27,Inactive,physical_shop
118,53,3,2020-06-27,,Active,online
119,53,7,2021-01-16,,Active,physical_shop
120,54,4,2013-01-27,2020-05-23,Inactive,physical_shop
121,54,12,2020-05-23,,Active,other
122,54,7,2021-05-10,,Active,physical_shop
123,55,12,2014-09-08,,Active,online
124,56,12,2017-11-20,2020-11-30,Inactive,online
125,56,6,2020-11-30,,Active,physical_shop
126,57,4,2020-07-17,,Active,online
127,58,12,2016-06-21,2020-06-25,Inactive,physical_shop
128,58,6,2020-06-25,,Active,physical_shop
129,59,4,2016-12-01,2020-05-09,Inactive,physical_shop
130,59,10,2019-05-04,2020-05-09,Inactive,online
131,59,5,2020-05-09,,Active,online
132,59,10,2020-10-13,,Active,online
133,60,5,2015-04-30,2022-01-30,Inactive,online
134,60,12,2022-01-30,,Active,online
135,60,10,2022-02-16,,Active,physical_shop
136,61,12,2013-06-19,2020-07-17,Inactive,physical_shop
137,61,8,2020-07-17,,Active,online
138,61,7,2021-03-03,,Active,online
139,62,12,2020-07-17,,Active,online
140,63,5,2012-12-19,2020-06-02,Inactive,online
141,63,8,2020-06-02,,Active,online
142,64,12,2019-03-21,2020-04-16,Inactive,physical_shop
143,64,6,2020-04-16,,Active,online
144,65,12,2014-12-21,2020-06-28,Inactive,physical_shop
145,65,7,2016-11-23,2020-06-28,Inactive,online
146,65,1,2020-06-28,,Active,online
147,66,12,2017-01-26,,Active,physical_shop
148,66,7,2019-07-22,,Active,physical_shop
149,67,13,2014-02-05,2021-04-19,Inactive,physical_shop
150,67,6,2021-04-19,,Active,online
151,68,5,2014-12-07,2020-05-05,Inactive,physical_shop
152,68,12,2020-05-05,,Active,other
153,68,10,2020-06-06,,Active,online
154,69,5,2014-04-23,2021-02-07,Inactive,physical_shop
155,69,10,2014-07-18,2021-02-07,Inactive,physical_shop
156,69,3,2021-02-07,,Active,online
157,70,12,2011-08-26,2021-02-02,Inactive,online
158,70,4,2021-02-02,,Active,online
159,70,7,2021-07-09,,Active,physical_shop
160,71,4,2018-07-03,2020-03-04,Inactive,physical_shop
161,71,7,2019-05-26,2020-03-04,Inactive,physical_shop
162,71,8,2020-03-04,,Active,online
163,71,7,2022-01-08,,Active,physical_shop
164,72,1,2021-05-03,,Active,online
165,73,5,2013-01-27,2020-12-07,Inactive,physical_shop
166,73,10,2013-05-08,2020-12-07,Inactive,physical_shop
167,73,1,2020-12-07,,Active,online
168,73,2,2021-10-07,,Active,physical_shop
169,74,5,2017-10-12,2021-05-31,Inactive,physical_shop
170,74,10,2019-04-12,2021-05-31,Inactive,physical_shop
171,74,12,2021-05-31,,Active,online
172,75,1,2020-12-23,,Active,online
173,75,2,2022-01-02,,Active,physical_shop
174,76,12,2017-05-06,2021-07-14,Inactive,physical_shop
175,76,7,2018-01-21,2021-07-14,Inactive,physical_shop
176,76,6,2021-07-14,,Active,online
177,77,8,2022-01-29,,Active,online
178,78,12,2017-02-14,2020-11-08,Inactive,physical_shop
179,78,10,2019-07-06,2020-11-08,Inactive,physical_shop
180,78,4,2020-11-08,,Active,physical_shop
181,79,4,2011-05-03,2020-04-15,Inactive,physical_shop
182,79,7,2019-11-27,2020-04-15,Inactive,online
183,79,1,2020-04-15,,Active,online
184,79,7,2020-06-26,,Active,online
185,80,12,2014-05-01,2020-10-06,Inactive,online
186,80,7,2018-07-17,2020-10-06,Inactive,physical_shop
187,80,5,2020-10-06,,Active,online
188,81,12,2012-11-15,2021-11-28,Inactive,physical_shop
189,81,4,2021-11-28,,Active,physical_shop
190,82,8,2020-05-20,,Active,online
191,83,12,2011-05-02,2021-07-08,Inactive,physical_shop
192,83,10,2017-12-25,2021-07-08,Inactive,online
193,83,4,2021-07-08,,Active,online
194,83,10,2021-12-28,,Active,online
195,84,12,2021-09-24,,Active,online
196,84,10,2021-11-04,,Active,physical_shop
197,85,5,2017-03-25,2020-10-11,Inactive,physical_shop
198,85,7,2019-05-14,2020-10-11,Inactive,physical_shop
199,85,4,2020-10-11,,Active,other
200,85,7,2021-02-13,,Active,physical_shop
201,86,4,2012-07-08,,Active,physical_shop
202,86,7,2017-09-22,,Active,physical_shop
203,87,5,2010-08-06,2020-06-20,Inactive,physical_shop
204,87,10,2017-01-09,2020-06-20,Inactive,physical_shop
205,87,8,2020-06-20,,Active,other
206,88,5,2018-11-02,2020-05-14,Inactive,physical_shop
207,88,8,2020-05-14,,Active,online
208,89,6,2020-07-25,,Active,online
209,90,5,2017-12-24,2020-10-05,Inactive,other
210,90,10,2019-04-06,2020-10-05,Inactive,physical_shop
211,90,4,2020-10-05,,Active,online
212,91,12,2011-01-19,2020-02-13,Inactive,physical_shop
213,91,7,2013-06-24,2020-02-13,Inactive,online
214,91,4,2020-02-13,,Active,physical_shop
215,92,5,2019-11-12,2021-02-11,Inactive,physical_shop
216,92,10,2019-12-12,2021-02-11,Inactive,physical_shop
217,92,12,2021-02-11,,Active,other
218,92,10,2021-07-09,,Active,physical_shop
219,93,1,2020-04-09,,Active,online
220,94,12,2014-06-01,2020-05-03,Inactive,physical_shop
221,94,7,2017-09-19,2020-05-03,Inactive,physical_shop
222,94,3,2020-05-03,,Active,online
223,95,5,2016-01-06,2021-06-15,Inactive,online
224,95,3,2021-06-15,,Active,online
225,95,2,2022-01-01,,Active,online
