charge_id,business_product_instance_id,charge_counter,date,cost,event_type
0,0,43395.0,2020-03-31,50600.0,recurrent
1,0,39273.3,2020-04-30,46478.3,recurrent
2,0,50006.0,2020-05-31,57211.0,recurrent
3,0,57253.9,2020-06-30,64458.9,recurrent
4,0,53082.7,2020-07-31,60287.7,recurrent
5,0,49781.6,2020-08-31,56986.6,recurrent
6,0,53540.3,2020-09-30,60745.3,recurrent
7,0,50129.2,2020-10-31,57334.2,recurrent
8,0,43535.8,2020-11-30,50740.8,recurrent
9,0,46184.6,2020-12-31,53389.6,recurrent
10,0,51928.8,2021-01-31,59133.8,recurrent
11,0,43637.0,2021-02-28,50842.0,recurrent
12,0,52010.2,2021-03-31,59215.2,recurrent
13,0,49397.7,2021-04-30,56602.7,recurrent
14,0,53914.3,2021-05-31,61119.3,recurrent
15,0,34416.8,2021-06-30,41621.8,recurrent
16,0,62340.3,2021-07-31,69545.3,recurrent
17,0,42750.4,2021-08-31,49955.4,recurrent
18,0,55015.4,2021-09-30,62220.4,recurrent
19,0,64007.9,2021-10-31,71212.9,recurrent
20,0,47799.4,2021-11-30,55004.4,recurrent
21,0,51647.2,2021-12-31,58852.2,recurrent
22,0,59656.3,2022-01-31,66861.3,recurrent
23,0,44449.9,2022-02-28,51654.9,recurrent
24,0,8955.1,2022-03-31,16160.1,recurrent
25,1,31146.5,2018-02-28,37911.5,recurrent
26,1,90805.0,2018-03-31,97570.0,recurrent
27,1,106231.4,2018-04-30,112996.4,recurrent
28,1,116991.6,2018-05-31,123756.6,recurrent
29,1,109802.0,2018-06-30,116567.0,recurrent
30,1,75697.6,2018-07-31,82462.6,recurrent
31,1,102610.2,2018-08-31,109375.2,recurrent
32,1,88937.2,2018-09-30,95702.2,recurrent
33,1,100362.9,2018-10-31,107127.9,recurrent
34,1,118465.6,2018-11-30,125230.6,recurrent
35,1,97326.9,2018-12-31,104091.9,recurrent
36,1,94636.3,2019-01-31,101401.3,recurrent
37,1,94737.5,2019-02-28,101502.5,recurrent
38,1,109836.1,2019-03-31,116601.1,recurrent
39,1,102600.3,2019-04-30,109365.3,recurrent
40,1,100558.7,2019-05-31,107323.7,recurrent
41,1,81220.7,2019-06-30,87985.7,recurrent
42,1,115174.4,2019-07-31,121939.4,recurrent
43,1,108561.2,2019-08-31,115326.2,recurrent
44,1,94158.9,2019-09-30,100923.9,recurrent
45,1,99226.6,2019-10-31,105991.6,recurrent
46,1,101024.0,2019-11-30,107789.0,recurrent
47,1,116183.1,2019-12-31,122948.1,recurrent
48,1,93607.8,2020-01-31,100372.8,recurrent
49,1,92369.2,2020-02-29,99134.2,recurrent
50,1,95069.7,2020-03-31,101834.7,recurrent
51,1,101297.9,2020-04-30,108062.9,recurrent
52,1,117329.3,2020-05-31,124094.3,recurrent
53,1,88995.5,2020-06-30,95760.5,recurrent
54,1,129102.6,2020-07-31,135867.6,recurrent
55,1,104977.4,2020-08-31,111742.4,recurrent
56,1,97234.5,2020-09-30,103999.5,recurrent
57,1,136424.2,2020-10-31,143189.2,recurrent
58,1,87819.6,2020-11-30,94584.6,recurrent
59,1,87840.5,2020-12-31,94605.5,recurrent
60,1,86509.5,2021-01-31,93274.5,recurrent
61,1,81451.7,2021-02-28,88216.7,recurrent
62,1,91686.1,2021-03-31,98451.1,recurrent
63,1,88365.2,2021-04-30,95130.2,recurrent
64,1,67621.4,2021-05-31,74386.4,recurrent
65,2,66.0,2021-05-31,2046.0,recurrent
66,2,343.2,2021-06-30,2323.2,recurrent
67,2,330.0,2021-07-31,2310.0,recurrent
68,2,336.6,2021-08-31,2316.6,recurrent
69,2,339.9,2021-09-30,2319.9,recurrent
70,2,316.8,2021-10-31,2296.8,recurrent
71,2,422.4,2021-11-30,2402.4,recurrent
72,2,422.4,2021-12-31,2402.4,recurrent
73,2,343.2,2022-01-31,2323.2,recurrent
74,2,283.8,2022-02-28,2263.8,recurrent
75,2,19.8,2022-03-31,1999.8,recurrent
76,3,63724.1,2011-12-31,70489.1,recurrent
77,3,110380.6,2012-01-31,117145.6,recurrent
78,3,100585.1,2012-02-29,107350.1,recurrent
79,3,112667.5,2012-03-31,119432.5,recurrent
80,3,100258.4,2012-04-30,107023.4,recurrent
81,3,100695.1,2012-05-31,107460.1,recurrent
82,3,105190.8,2012-06-30,111955.8,recurrent
83,3,92335.1,2012-07-31,99100.1,recurrent
84,3,103372.5,2012-08-31,110137.5,recurrent
85,3,96881.4,2012-09-30,103646.4,recurrent
86,3,125346.1,2012-10-31,132111.1,recurrent
87,3,100324.4,2012-11-30,107089.4,recurrent
88,3,114636.5,2012-12-31,121401.5,recurrent
89,3,95977.2,2013-01-31,102742.2,recurrent
90,3,99613.8,2013-02-28,106378.8,recurrent
91,3,100540.0,2013-03-31,107305.0,recurrent
92,3,103994.0,2013-04-30,110759.0,recurrent
93,3,85417.2,2013-05-31,92182.2,recurrent
94,3,106536.1,2013-06-30,113301.1,recurrent
95,3,110579.7,2013-07-31,117344.7,recurrent
96,3,92981.9,2013-08-31,99746.9,recurrent
97,3,98154.1,2013-09-30,104919.1,recurrent
98,3,101094.4,2013-10-31,107859.4,recurrent
99,3,133139.6,2013-11-30,139904.6,recurrent
100,3,105675.9,2013-12-31,112440.9,recurrent
101,3,118203.8,2014-01-31,124968.8,recurrent
102,3,76256.4,2014-02-28,83021.4,recurrent
103,3,106366.7,2014-03-31,113131.7,recurrent
104,3,106488.8,2014-04-30,113253.8,recurrent
105,3,88801.9,2014-05-31,95566.9,recurrent
106,3,111977.8,2014-06-30,118742.8,recurrent
107,3,94932.2,2014-07-31,101697.2,recurrent
108,3,97843.9,2014-08-31,104608.9,recurrent
109,3,103352.7,2014-09-30,110117.7,recurrent
110,3,108370.9,2014-10-31,115135.9,recurrent
111,3,98133.2,2014-11-30,104898.2,recurrent
112,3,107378.7,2014-12-31,114143.7,recurrent
113,3,117811.1,2015-01-31,124576.1,recurrent
114,3,108882.4,2015-02-28,115647.4,recurrent
115,3,112734.6,2015-03-31,119499.6,recurrent
116,3,108826.3,2015-04-30,115591.3,recurrent
117,3,112733.5,2015-05-31,119498.5,recurrent
118,3,96389.7,2015-06-30,103154.7,recurrent
119,3,129024.5,2015-07-31,135789.5,recurrent
120,3,105523.0,2015-08-31,112288.0,recurrent
121,3,117114.8,2015-09-30,123879.8,recurrent
122,3,105315.1,2015-10-31,112080.1,recurrent
123,3,101324.3,2015-11-30,108089.3,recurrent
124,3,108771.3,2015-12-31,115536.3,recurrent
125,3,81700.3,2016-01-31,88465.3,recurrent
126,3,103206.4,2016-02-29,109971.4,recurrent
127,3,95691.2,2016-03-31,102456.2,recurrent
128,3,99469.7,2016-04-30,106234.7,recurrent
129,3,109953.8,2016-05-31,116718.8,recurrent
130,3,85996.9,2016-06-30,92761.9,recurrent
131,3,115223.9,2016-07-31,121988.9,recurrent
132,3,124527.7,2016-08-31,131292.7,recurrent
133,3,96819.8,2016-09-30,103584.8,recurrent
134,3,117458.0,2016-10-31,124223.0,recurrent
135,3,110390.5,2016-11-30,117155.5,recurrent
136,3,113012.9,2016-12-31,119777.9,recurrent
137,3,103059.0,2017-01-31,109824.0,recurrent
138,3,81954.4,2017-02-28,88719.4,recurrent
139,3,99316.8,2017-03-31,106081.8,recurrent
140,3,83738.6,2017-04-30,90503.6,recurrent
141,3,93595.7,2017-05-31,100360.7,recurrent
142,3,121035.2,2017-06-30,127800.2,recurrent
143,3,116569.2,2017-07-31,123334.2,recurrent
144,3,103581.5,2017-08-31,110346.5,recurrent
145,3,122098.9,2017-09-30,128863.9,recurrent
146,3,96651.5,2017-10-31,103416.5,recurrent
147,3,95066.4,2017-11-30,101831.4,recurrent
148,3,107838.5,2017-12-31,114603.5,recurrent
149,3,91976.5,2018-01-31,98741.5,recurrent
150,3,68899.6,2018-02-28,75664.6,recurrent
151,3,115445.0,2018-03-31,122210.0,recurrent
152,3,106360.1,2018-04-30,113125.1,recurrent
153,3,108944.0,2018-05-31,115709.0,recurrent
154,3,106891.4,2018-06-30,113656.4,recurrent
155,3,104394.4,2018-07-31,111159.4,recurrent
156,3,95252.3,2018-08-31,102017.3,recurrent
157,3,90113.1,2018-09-30,96878.1,recurrent
158,3,104496.7,2018-10-31,111261.7,recurrent
159,3,96716.4,2018-11-30,103481.4,recurrent
160,3,96189.5,2018-12-31,102954.5,recurrent
161,3,99281.6,2019-01-31,106046.6,recurrent
162,3,96947.4,2019-02-28,103712.4,recurrent
163,3,91385.8,2019-03-31,98150.8,recurrent
164,3,93212.9,2019-04-30,99977.9,recurrent
165,3,109630.4,2019-05-31,116395.4,recurrent
166,3,100065.9,2019-06-30,106830.9,recurrent
167,3,98826.2,2019-07-31,105591.2,recurrent
168,3,112141.7,2019-08-31,118906.7,recurrent
169,3,94164.4,2019-09-30,100929.4,recurrent
170,3,109816.3,2019-10-31,116581.3,recurrent
171,3,96290.7,2019-11-30,103055.7,recurrent
172,3,118483.2,2019-12-31,125248.2,recurrent
173,3,116487.8,2020-01-31,123252.8,recurrent
174,3,77896.5,2020-02-29,84661.5,recurrent
175,4,56.1,2020-02-29,2036.1,recurrent
176,4,290.4,2020-03-31,2270.4,recurrent
177,4,310.2,2020-04-30,2290.2,recurrent
178,4,379.5,2020-05-31,2359.5,recurrent
179,4,396.0,2020-06-30,2376.0,recurrent
180,4,326.7,2020-07-31,2306.7,recurrent
181,4,386.1,2020-08-31,2366.1,recurrent
182,4,254.1,2020-09-30,2234.1,recurrent
183,4,396.0,2020-10-31,2376.0,recurrent
